Կարգին մարդ ,titles,links,Շատ տարածված արտահայտություն,Տեքստ,Հիմնական դերասաններ,հիմնական դերասանների քանակ,Դերերի անուններ,Վայր,Լուսավորվածություն,Լեզուներ,Արված է,,Ստուգված է
Eline Babayan,Kargin Haghordum sketch 593 (Hayko Mko),https://www.youtube.com/watch?v=oLDjVa73B4o&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=194&t=0s,Ընձի մի հատ զուգարանի թուղթ տվեք արա։,"Բարև ձեզ ես այս խանութի մենեջերն եմ ,մեր խանութում դուք կարող եք գտնել ձեզ հետաքրքրող ցանկացած ապրանք,ասեմ ավելին մենք մեր բոլոր հաճախորդներին ցուցաբերում ենք անհատական մոտեցում,ինչով կարող եմ ձեզ օգնել։Ինձ լվացքի փոշիա պետք։Լվացքի փոշիները կողքի բաժնում են։Շնորհակալություն։Բարև ձեզ ես այս բաժնի վաճառողուհին եմ,մեր բաժնում ։Պարզա ինձ լվացքի փոշիա պետք։Իսկ ձեռքով լվալու թե ավտոմատ։Ավտոմատ։Այդ դեպքում անցեք դիմացի բաժին։Բարև ձեզ ես այս բաժնի վաճառող։Գիտեմ,ինձ լվացքի փոշիա պետք ավտոմատ լվացման համար։Իսկ սպիտակ շորերի համար թե գունավոր։Գունավոր։Բարի այդ դեպքում մոտեցեք կողքի բաժին։Բարև ձեզ,ես։Մի վայրկյան ինձ պետքա լվացքի փոշի ավտոմատ գունավոր հագուստ լվալու համար,թղթից տուփով ֆիրման վվաբշե կապ չունի,իսկ սինթետիկ թե բամբակյա հագուստի համար։Էսի ունիտազսա էս զուգարանիս մետլախը էս էլ կաֆելը,քամակս էլ կես ժամ առաջ եմ ցույց տվել ընձի մի հատ զուգարանի թուղթ տվեք արա։","Հայկո,Մկո",2,Ոչ մի,Խանութ,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 594 (Hayko Mko),https://www.youtube.com/watch?v=XTx8271LtQo&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=195&t=0s,էսի տանը նստած քաշումա ամբողջ շենքը սենց ծխապատվումա ,"Արա էս ինչ տխուրա արա։Շեֆ կարողա հետներս պիտի զենք վերկալեինք։Ինչ զենք Սողոմոնյան կարողա գիտես էսի Рэмбо 6 դու էլ դրա մեջի նիկոպյաստն ես,սա սովորական կլասիկ թմրամոլա սրա համար շենքի բնակիչներն են զանգել բողոքել ասում են որ էսի տանը նստած քաշումա ամբողջ շենքը սենց ծխապատվումա ու դաժե եթե էդ ժամանակ շենքում մի վատ բանա լինում ամբողջ շենքը ծիծաղումա,դրա համար հիմա մենք էս էշին կբռնենք կտանենք բաժին մի 2 հատ թաթալոշ կտանք ականջները կձքենք անվերջության մինչև տենանք ովա սրա համար գալի։Ովա։Ստիկանությունիցա բաց արեք։Չջոգի ապեր։Արա քաղմասիցա արա բացի։Ինչ կա որ։Ուզում ենք խոսանք։Խի դուք քանի հոգով եք ախպեր։2։Դե դուք իրար հետ խոսացեք էլի։

",Հայկո,2,Սարգսյան,Տուն,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 595 (Hayko Mko),https://www.youtube.com/watch?v=hxad0XaMleI&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=196&t=0s,Դրանից վերցրի տեղը փող տվի,"Շատ լավն էր ապե,էս առել էիր։Չէ ախպեր կարողա ես էն տղեն եմ որ պիտի առնեմ էն մեր կողքի քուչի Բոյան կա դրանից վերցրի տեղը փող տվի։Մալադեց ապե լավ ֆս էր թրցրեց հանեց մինչև 100-րդ հարկ։Ապե որ ասում ես թրցրեց մի հատ բան հիշա էլի խոսքի մեկը 100-րդ հարկից թռնումա ներքև։Սամո ախպեր բան էիր ասում։Ապե ասում եմ կարողա ես պիտի ավլեմ էն մեր կողքի քուչի Բոյան կա էդ դրանից վեկալա տեղը փող տվեցի։Արա ախպեր ջան էդի չէ որ թռնումա ինչա լինում։Ասում եմ  որ մեկը 100-րդ հարկից թռնի ներքև  խոսքի ինչքան վախտ կթռնի։Ապե դե մի 5 օր կթռնի։Հետո կմեռնի։Ապե կմեռնի բա 5 օր առանց հաց ու ջուր բա ինչ կլինի։Հա լավ ինչ եք տխուր բաներից խորացել ավելի լավա եկեք մտածենք թե գալող նոր տարին որտեղ ենք նշելու հը։Ապե չգիտեմ էս գալող նոր տարին որտեղ եմ նշելու բայց էս նոր տարի Հավայան կղզիներում  եմ նշել,ապե  մի հաշք տարածք մի հրաշք անձնավորություն ցավդ տանեմ ավազ պեսոկ արև մուլատկեք բլանդինկեք ու լիքը աղջիկ շամպանսկին էլ ձրի ախպեր,սաղ նոր տարվա գիշերը черный икра քցքւմ էի հացին կանյակը խմում էի իկրեն ուտում էի խմում էի ուտում էի,ով չի էղել տղերք ջան խորհուրդ եմ տալի։Ախպեր ես էս նոր տարին նշել եմ Բրազիլիայում 4 բառով ասեմ դուք մի հատ խորացեք կառնավալ երաժշտություն բմբուլներ ու լիքը տկլոր աղջիկ ով չի էղել ախպեր թող գնա տենա ախպեր։Սամո ջան բա դու էս նոր տարին որտեղ ես նշել ։Ոնց էս նոր տարին միասին ենք նշել կուխնիում իրար հետ նստած էինք,պրոստը դուք քաշել էիք ես չէ։","Հայկո,Մկո",3,Սամո ,Տուն,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 596 (Hayko Mko),https://www.youtube.com/watch?v=2ORSbLAP2hY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=197&t=0s,"Քուր ջան  հազար ներողություն երևի պադեզդը շփոթել եմ։

","Դե ասա որ շորը հագնեմ։ԸԸ ինչ շոր արի միքիչ էլ քնենք։Գժվել ես ինչա մոռացել ես անցած անգամ ինչ պատմության մեջ ընկար ուզում ես էլի կրկնվի շուտ արա հագնվի գնանք։Ես պառկում եմ քնմե։Ասում եմ հագնվի գնանք ուշա արդեն։Քնում եմ։Գնա։Քնում եմ։Գնա։Արա ով ես դու արա,տեղաշորիս մեջ ինչ ես անում արա,արա ով ես դու արա ինչ գործ ունես իմ տան մեջ արա,հըն արա,արա ինչ գործ ունես դու մեր տանը,շակալ։Քուր ջան  հազար ներողություն երևի պադեզդը շփոթել եմ։","Հայկո,Մկո",3,Ոչ մի,Ննջարան,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 597 (Hayko Mko),https://www.youtube.com/watch?v=Pc5yHdc127k&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=198&t=0s,"Աղչի գժվել ես կմտածեն ուռում-մուռում ենք։

","Ինչ կա։Պարոն տնօրեն Սիմոնյան էր զանգել քաղաքապետարից։Նստի,բա պարոն տնճրենին ուրիշ ասելու բան չունես։Չէ։Բա ուզում ես մի հատ աջ ձեռք անեմ։Չէ։Էս ինչա հետս կատարվում հահահա։Կներեք։Ով ես։Ես ձեր դիզայն Art-ն եմ։Երևի նոր ես հա ընդունվել գործի։Այո երեկ չէ առաջին օրը։Բա էդ ինչա ձեռիդ մեջ։Սա նոր ապրանքատեսակների էսքիզներն են,վերցրեք։Չէ ավելի լավա դիր սեղանին;Հլը մի րոպե,ես ուղղակի ուզում էի ասեի որ դուք ունեք բոլոր նախադրյալները մեր ֆիրմայում լավ առաջ գնալու համար։Շնորհակալություն։Ուրեմն կմտնեք փոխտնօրենի մոտ ինքը ձեզ աջ ջեռքի կանոնը կբացատրի։Ինչ։Լավ էլ մի երկարացրա գնա ինքը սաղ կասի;Էսքիզները վեր կալ մտի մոտս մի քիչ խզբզենք;Աղչի հանվի ինչ ես նստել արա։Վայ գոնե դուռը փակեք։Դուռը,աղչի գժվել ես կմտածեն ուռում-մուռում ենք։

","Հայկո,Հասմիկ",2,Ոչ մի,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 598 (Hayko Mko),https://www.youtube.com/watch?v=N6GbyLhKZ70&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=199&t=0s,Գուգո ձյաձյա էրեկվա ասածս ուժի մեջա;,"Հովո ջան բարի օր ապեր։Բարև Գուգո ձյա։Ոնց ես։Լավ եմ,Գուգո ձյաձյա հլը ասա 5։5 ազիզ։Ու  տես մի վագոն խլինք։Հովիկ էս ոնց ես մեծերի հետ խոսում հլը հորդ կանչի։Ըը։Ի Գոքոր,այ Գոքոր։Բարլուս Գուգո ջան ինչ կա։Բարի օր Գոքոր ջան ցավդ տանեմ տղեդա գիտես տղուս պես սիրում եմ բայց դե միքիչ մեծերի հետ խոսալ սովորացրու։Ինչ ես ասել արա Գուգո ձյաձյային,ինչա ասել  որ։Արա դե Գոքոր ջան  ամոթելա ասեմ ասումա ասա5 ասում եմ 5 ասումա ուտես մի վագոն խլինք։Արա ես քեզ չեմ ասել մեծերի հետ տենց չխոսաս ,արա մյուս անգամ էդ բառերը բերանիցդ չլսեմ  էղավ արա արի քեզ ասեմ արա։Իյա Հովիկ էս աչքիս պապան էրեկ լավ դաստիարակչական աշխատանքա հա տարել,հը բացատրեց որ մեծերի հետ էդ բառերով չեն խոսում մի հատ էլ ասեմ 5։Ասա։5։Գուգո ձյաձյա էրեկվա ասածս ուժի մեջա;","Հայկո,Մկո,երեխա",3,"Հովո,Գուգո,Գոքոր",Դուրս,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 599 (Hayko Mko),https://www.youtube.com/watch?v=xFKrPTRGLjU&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=200&t=0s,Էն վախտ փող պետք չէր։,"Ինչա պատահել։Ինչա։Ասում եմ ինչա էղել։Բժիշկ ջան լավ չեմ լսում։Փակ եք աչքերը։Լավ տենում եմ բայց լավ չեմ լսում։Ասում եմ փակի փակի աչքերը փակի։Հա փակեմ բուժեք;Չեք բուժում բժիշկ։Փակեք փակեք։Բժիշկ ստեղ եք բուժեք էլի բուժեք։Փակի փակի։Լավ փակեմ բուժեք։<հրացանի կրակոց>Նորմալա ամեն ինչ պրացեդուրայա։Բժիշկ ջան բուժեք էլի լավության տակից դուրս գամ։Հանգիստ նստեք ;Ոնց հլը բռնի էսի,մյուս ականջդ բեր,չի կարող պատահի,բռնի։Սկսեցի լսել արդեն լավ բժիշկ։Դու տեղյակ ես որ ականջներիդ մեջ 2 հատ 100 դրամանոց կա։Իհարկե գիտեի բժիշկ ջան։Ու վաղուցա տենց։Արդեն մի ամիսա բժիշկ ջան։Բա ինչի շուտ չէիր գալիս։Էն վախտ փող պետք չէր։","Հայկո,Մկո",2,Ոչ մի,Հիվանդանոց,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Eline Babayan,Kargin Haghordum sketch 600 (Hayko Mko),https://www.youtube.com/watch?v=dfwG8k21KPM&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=201&t=0s,ՈՒֆ հոգիս գնաց։,"Ըհը շարժվեցինք։Ես էս  ճամպրուկը մի հատ տեղավորեմ։Հը ինչա էղել հասանք։Կներեք դեմ չէիք ճամպրուկը ձեզ մոտ դնեի։Հա դիր այ քուրս։Շնորհակալ եմ։Մի տնից շենք մի կուպեից ենք։ՈՒֆ հոգիս գնաց։Շատ ես տանջվում քեզ տղամարդա պետք։Լավ չես ուզում ամուսնանաս սիրեկան պահի էս դեպքերում համ քեզ կօգնի համ էլ փող կտա,ինձնից օրինակ վերցրու տես էկավ ճանապարհեց ամիսն էլ 500 դոլար փողա տալիս։Ախր ես չեմ հասկանում դու ոնց ես համեմատոմ ինձ քո հետ,հլը քեզ նայի քո տեսքը,քո շորերը,քո մակյաժը, հլը իմ վիճակը որ մի տղամարդը կուզենա ինձ ամիսը 500 դոլար փող տա։Լավ չես ուզում մի սիրեկան ունենաս 2-ը պահի թող ամեն մեկը 250 տան։Դու մտածում ես ինչ ես ասում, մենակ ինձ որ ամիսը 250 դո;ար փող տա դու պատկերացնում ես ամիսը ինչքան փող պիտի աշխատի,ես որտեղից տենց տղամարդ ճարեմ էն էլ մեկի տեղը 2 հատ։Լավ 5 հոգի պահի թող ամեն մեկը 100 դոլար տա։Ախր ինքդ մտածի եթե ինքը ինձ ամսեկան 100դոլար փողա տալիս ուրեմն ինքը աշխատողա չէ,ուրեմն ես կարող եմ հանդիպես էդ 5 հոգու հետ մենակ ոչ աշխատանքային օրերին,բա ոնց եմ 5 հոգու հետ հադիպելու շաբաթ-կիրակիի ընթացքում։Լավ դու էլ 10 սիրեկան պահի կես դրույքով աշխատող ամեն մեկը թող ամսեկան 50 դոլար փող տա։Աղջկեք ջան որ հասնեք  500 դրամի ինձի ձեն կտաք։","Հայկո,Մկո",3,Սաթիկ,Գնացք,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Էմմա Մելքոնյան,Kargin Haghordum sketch 221 (Hayko Mko),https://www.youtube.com/watch?v=eGBMeksUdew&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=22&t=0s,Երեխաներ իմ մարնմի մասերից որն եք հավանում,"Երեխաներ այսօր մենք կանենք գուշակություն, ես հիմա կկանգնեմ և դուք կասեք թե իմ մարմնի մասերից որն է ձեզ ֆուր գալիս, ըստ դրա ես կասեմ թե դուք ինչ եք դառնալու։ Օրիանկ Արփինե իմ մարնմի մասերից քեզ որն է դուր գալիս։ Ձեր մազերը ընկեր Փիրումյան։ Արփինե ջան դու կդառնաս վարսահարդար։ Էրիկ իսկ քեզ իմ մարմնի մասերից ո՞րն է ավելի շատ դուր գալիս։ Ձեր աչքերը։ Ուրեմն դու կդառնաս ակնաբույժ։ Լիլիա ջան իսկ քեզ որն է դուր գալիս։ Ձեր ատամները։ Ուրեմն դու կդառնաս ատամնաբույժ։ Անդրանիկ իսկ քեզ։ Ոնց հասկացա ես կթվոր եմ դառնալու։",Հայկո,4,"Անդրանիկ, Էրիկ, Արփինե, Լիլիա,",Դպրոց,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Էմմա Մելքոնյան,Kargin Haghordum sketch 222 (Hayko Mko),https://www.youtube.com/watch?v=L3dPl0iBJ3g&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=23&t=0s,Խանութին պարտք է մնում,"Երեխաներ այսօր ավարտվեց մեր մաթեմատիկայի դասը, հաջողություն։ Իսկ դու Միասնիկ ջան արի մի փոքր զրուցենք։ Քանի որ դուք նոր եք տեղափոխվել մեր բակ այդ պատճառով դու հետ ես մնացել դասերից։ Հիմա մենք կպարապենք որպեսզի դու հասնես քո դասարանցիների մակարդակին։ Հիմա բերեմ մի կենցաղային խնդիր։ Ասենք դու գնացել ես խանութ ապրանք ես գնել և խանութին պարտ ես մնացել 20 դոլլար, մայրիկը 1000 դոլլար, քույրիկը 500 դոլլար, հայրիկը 250000 դոլլար։ Իսկ հիմա հարց՝ ինչ գումար է հարկավոր ձեր ընտանիքին որպեսզի պարտքերը մարեք։ Չգիտեմ։ Լավ մտածիր Միասնիկ։ Չգիտեմ։ Ինչու՞։ Որովհետև որ մենք այդքան պարտք ենք ունենում տնից փախնում ենք  ",Մկո,2,Միասնիկ,Դպրոց,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Էմմա Մելքոնյան,Kargin Haghordum sketch 223 (Hayko Mko),https://www.youtube.com/watch?v=zSpHDA3CpKw&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=24&t=0s,իմ հայրիկը աշխատում է,"Երեխաներ այսօր առանց գրքի դաս կանենք, հիմա մենք մի խաղ կխաղանք։ Նայեք ես օրկան մը ասում եմ։ Օրինակ իմ հայրիկը աշխատում է մատուցող, Մ ա տ ու ց ո ղ, եթե նա այստեղ լիներ կբերեր մեզ հանքային ջուր։ Հիմա դու Աննա ջան։ Իմ հայրիկը աշխատում է բանկում, Բ ա ն կ ու մ , եթե նա այստեղ լիներ կբերեր մեզ փայլուն կոպեկներ։ Ապրես Աննա ջան։ Հիմա դու Լիլիթ։ Իմ հայրիկը աշխատում է հացթուխ, Հ ա ց թ ու խ, եթե նա այստեղ լիներ կբերեր մեզ թխվածքաբլիթներ։ Գագիկ ջան դու ասա։ Իմ հայրիկը աշխատում է անասնաբույժ։ Ա ն ա ս ն ա տ ու յ բ ու տ։ Լավ Գագիկ ջան նստիր քիչ անց նորից կփորձենք։ Միհրան ջան դու ասա։ Իմ հայրիկը աշխատում է Վիվարոյում։ Վ ի վ ա ր ո յ ու մ։ Եթե նա այստեղ լիներ 0։20 գործակցով կասեր որ Գագիկը անասնաբույժ բառը չի կարում ասի։",Հայկո,5,"Լիլիթ, Աննա, Գագիկ, Միհրան",Դպրոց,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Karine1a,Kargin Haghordum sketch 241 (Hayko Mko),https://www.youtube.com/watch?v=h01gWxW9VsU&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=42&t=0s, ա  օրինական է բայց տրամաբանական չի; բ  տրամաբանական է   բայց օրինական չի; և գ ոչ օրինական է ոչ էլ տրամաբական,Մարտիրոսյան արի նստի պատրաստ ես հարցերիս  պատասխանելու; ճիշտն ասած ոչ; պատրաստ չես բայց դու գիտես որ չպատասխանես իմ հարցերին լիկվիդ կընկնես էնտեղ էլ կամիսյաա չար  լսի տո խելքդ գլուխդ հավաքի միշտ ասել ենք քո համար ընդառաջ ենք գնացել նշանակել ենք վաղը մյուս օր դու իրավաբան ես դառնալու դու մարդկանց պռոբլեմների միջից պետք է հանես; օրինակ ինձ հետաքրքիր է  դու պռոբլեմի մեջ ես հիմա ինձ ասա ոնց ես դուրս գալու; ես որպես ապագա իրավաբան առաջարկ ունեմ առաջարկը հետևյալնա ես ձեզ կտամ երեք մասնագիտական հարց եթե դուք չկարողանաք պատասխանել այդ հարցերին դուք ինձ հինգ եք նշանակում եթե պատասխանեցիք էլ ինձ լիկվիդ չեք ուղարկում ես միանգամից դուրս կգամ համալսարանից; հետաքրքիր առաջարկա ես միանգամից զաչոտնիկդ կվերցնեմ որ հարցերդ լուծեմ լսում եմ;  ուշադրություն հարցերը նկարագրեք ինձ իրավիճակ ա  օրինական է բայց տրամաբանական չի բ  տրամաբանական է բայց օրինական չի  և գ ոչ օրինական է և ոչ էլ տրամաբանական;  չգիտեմ ասա ինչնա ՝ հինգը դե ասա; իսկ այժմ ուշադրություն ճիշտ պատասխանը դուք 75 տարեկան մարդ եք և ամուսնացել եք 20 տարեկան աղջկա հետ դա օրինական է բայց տրամաբանական չի բնականաբար ձեր կինը ունի երիտասարդ սիրեկան դա օրինական չի բայց տրամաբանական է իսկ այն փաստը որ դուք հենց նոր այդ սիրեկանին 5 նշանակեցիք ոչ օրինականա ոչ էլ տրամաբանական ,"Հայկո, Մկո",,Մարտիրոսյան,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն,TRUE,FALSE,FALSE
Karine1a,Kargin Haghordum sketch 242 (Hayko Mko),https://www.youtube.com/watch?v=fRBQxWaVbpc&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=43&t=0s,"Եթե դու ակվարիում ունես ուրեմն դու բնություն ես սիրում;  եթե դու բնությունն ես սիրում ուրեմն դու  գեղեցիկն ես սիրում; եթե դու գեղեցիկն ես սիրում  ուրեմն կանանց էլ կսիրես; եթե կանանց ես սիրում ուրեմն դու նոռմալ տղամարդ ես, այսինքն արվավոր չես; ձեր լեզվով ասած գոմիկ չես; որտեղից հասանք որտեղ այ էդ տրամաբանական շղթանա; ","ես քեզ 4֊րդ հարցն եմ տալիս դու չես պատասխանում դու ուսանող ես թե՞ դատարկություն  փիլիսոփայության ֆակուլտետի 4֊րդ կուրսի ուսանող ես քննության ես եկել թե ուր;  վերջին հնարավորությունն եմ քեզ տալիս ուրեմն   հարց եմ տալիս տրամաբանությունից;  ինչա նշանակում տրամաբանական շղթա չէէ էտ էլ չգիտե՞ս ամոթ չես անում մի տեղ կհարցնեն 4֊րդ կուրսի ուսանող ես բա ինչ գիտես քեզ խայտառակ կանես  հերիք չի մեզ խայտառակ կանես հասկանում ես դու։ լսի էս քեզ ասեմ գոնե իմացի էտ ինչա  ուրեմն տրամաբանական շղթա նշանակումա օրինակ տանը ակվարիում ունես ՝ հա  շատ լավա; եթե դու ակվարիում ունես ուրեմն դու բնություն ես սիրում;  եթե դու բնությունն ես սիրում ուրեմն դու  գեղեցիկն ես սիրում; եթե դու գեղեցիկն ես սիրում  ուրեմն կանանց էլ կսիրես; եթե կանանց ես սիրում ուրեմն դու նոռմալ տղամարդ ես, այսինքն արվավոր չես; ձեր լեզվով ասած գոմիկ չես; որտեղից հասանք որտեղ այ էդ տրամաբանական շղթանա; պարզա  այ հիմա տրամաբանորեն ես քեզ պիտի չնշանակեմ ու դու դուրս մնաս ինստիտուտից  բայց ստեղ ուրիշ տրամաբանություն էլ կա ես քեզ կնշանակեմ  ոգևորվես ու մյուս քննությանը  պատրաստված գաս եղավ; մերսի պարոն Մելիքսեթյան  գնա գնա։","Հայկո, Մկո",,Մելիքսեթյան,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն,TRUE,FALSE,FALSE
Karine1a,Kargin Haghordum sketch 243 (Hayko Mko),https://www.youtube.com/watch?v=Ms5nwhVCWoI&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=44&t=0s,Ճիշտն ասած իմ դուրն էլ չեկավ;,"Ասեք լսում եմ; ես ճիշտն ասած անձնական  հարցերով էի ուզում մի քիչ զրուցենինք անձնական հարցերը 6֊ից հետո իսկ հիմա հաջողություն; դուք ինձ չեք ճանաչում բայց  ստիպված կլինեք ինձ լսել, որովհետև մինչև մենք չզրուցենք ես այստեղից չեմ հեռանա;  մինչև սկսելը ես կուզենայի շեշտել որ ես ժամանակակից մարդ եմ և սովոր եմ իմ խնդիրներները լուծել ցիվիլ մեթոդներով;  ես մի քանի հարց ունեմ ձեզ խնդրում եմ ասեք դուք անցած տարի միջերկրական ծովում ավելի կոնկրետ Իսպանիայում հանգստացե՞լ եք մի վայրկյան այո ու ի՞նչ; այդ ժամանակ Էլեոնորա անունով մի կնոջ հետ ծանոթացե՞լ եք ՝ հա; իսկ էդ կնոջ հետ ինտիմ հարաբերությունների մեջ եղե՞լ եք  այո ու՞; ես ձեզ ուզում եմ տեղեկացնել  ես Էլեոնորայի ամուսինն եմ և դա  ինձ դուր չի գալիս; գիտեք ճիշտն ասած իմ դորն  էլ չեկավ;","Հայկո, Մկո",,Ոչ մի,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն,TRUE,FALSE,FALSE
Karine1a,Kargin Haghordum sketch 244 (Hayko Mko),https://www.youtube.com/watch?v=lAeG87Rui7M&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=45&t=0s,Էլի կխմես,այ անասուն էս ինչա վիճակդ հոգնել եմ արդեն հոգնել  եմ հասկանում ես  խայտառակ արեցիր մեր ամբողջ ընտանիքը;լավ ես ձևը գիտեմ քեզ ոնց դաստիրակեմ;  էլի կխմես էլի կխմես  կխմես չէէէ; կխմե կխմես կխմես չէէ;  էլի կխմես էլի կխմես;  լավ համոզիր լից;,"Հայկո, Մկո",,Ոչ մի,Տուն,լուսավոր,հայերեն,TRUE,FALSE,FALSE
Karine1a,Kargin Haghordum sketch 245 (Hayko Mko),https://www.youtube.com/watch?v=4ho-TLZy3xM&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=46&t=0s,ինձ պետք չի ախպեր ջան  ես քաչալ եմ,բարի օր ախպեր բարիլուս ես Գորիից եմ եկել 2 օրից պիտի հետ գնամ աա ես էլ Ղարաբաղից եմ եկել բայց երևի կմնամ; ուղղակի բանը ստեղ Երևանում պապայի հարսանիքնա ինձ էծ ասեցին որ էս այգում լավ վարսավիրանոց կա  կարողանա՞ իմանաս որտեղա; ա խոխա լավ հասկանում չես քեզ ասըմ եմ քաղաքից չեմ; բարի օր ախպեր; բարի օր ցավդ տանեմ; ինձ ասեցին որ էս այգում լավ վարսավիրանոց կա կարողա իմանաս որտեղա; չէ ախպերս չգիտեմ; ա երևի դու էլ էս քաղաքից չես որ չգիտես էս այգում վարսավիրանոցը որտեղա;  Երևանից եմ ախպեր ջան ամեն օր էլ ես այգի գնում գալիս եմ; հա բա ոնց չգիտես այգում վարսավիրանոցը որտեղա; ինձ պետք չի ախպեր ջան եա քաչալ եմ,"Հայկո, ...",,Ոչ մի ,Դուրս,լուսավոր,հայերեն,TRUE,FALSE,FALSE
